File name,Original_node,Original_edge,Pruning_node,Pruning_edge,Reduction_node,Reduction_edge
0563ff99f825cd244c73555b96b6447cdaa2416f4e1de14e83c2aeb79821ce80.apk,22245,46313,11856,29248,10389,17065
05704fc60eb8c341d5e6749f4e17b70ab39006e3e86033a58ba3d1d900b36f76.apk,13209,26754,6101,15348,7108,11406
0577b202493b9e692dfb586a5adff8dbc32c9ae08bca08daaef733974d97e306.apk,61123,127763,20137,49693,40986,78070
058120bc9f391e930bbe7dfa188cc7e2b9bf3ca349a6583ad9438cd82faf7ff6.apk,13367,22217,6545,12869,6822,9348
058a90e081a8d22ef254b2feb2bae00f81b971e39a6ba6737d93ccebb6278f29.apk,28450,59868,13896,34169,14554,25699
05954c3b5b148aaf414a57e063417ed591ad08e593ed64cee2e58423982a38f5.apk,47824,87051,16521,39063,31303,47988
05a9736ec9a301bbb3265f1cc68431ea563d400f5984b3c22f6235312fe916dc.apk,18888,29413,8407,16609,10481,12804
05a9c96f3230f16f1ff81d5fe47c950253278f6e6b0a2f5babf8d8e1588f1cfb.apk,90117,189596,35587,90045,54530,99551
05b21894e5ae1d4c00143746fcaf3fd73e52e8dd5a0ac57ae692a8fa19acfc75.apk,20043,36894,6141,16327,13902,20567
05b8dd6c0cdaccc76f0dd6e2e538ce1632983bfcac88aaedb93745eb7ea1443b.apk,34135,64212,12516,28712,21619,35500
05ca062d1db108e138948f84fc9be33553827ebb20d188ef7955940dfb1f8496.apk,26283,57786,13512,34631,12771,23155
05efba9a5ef8f0e12448ae931c1f27e592d9ecf9cb789ff881ebc06bee6ed1bf.apk,30713,66498,11376,27888,19337,38610
05edd994c8b92545235849099b95a3bf72c314997c60d1a6ca6d30bd04a1edce.apk,19842,38213,9010,20720,10832,17493
06028bf5045a0c795723b296147196d238408dc0e34de2b089c3d61991caaabf.apk,42169,86849,13509,38524,28660,48325
07c3917afac3a74fe24c7264a85477efb03843b9f8f2bc1a3482ef8516dd024f.apk,85544,187046,35915,101056,49629,85990
07ceb7c6da08df6285f600b3573824675692b84f7a6fd3eb684523005c52ec42.apk,35618,76933,11097,27163,24521,49770
07f70ffca47cbd3b4c76b5bb20019d181e89bfd41e20a1fefdd3c3824b215601.apk,36094,80476,17234,44040,18860,36436
084ef9c4435de13b2a121f34bcfb673d78cf946e9943477919a300f880881bb5.apk,59139,118683,22167,54004,36972,64679
0949164ca781160434d4fcce4e91fa790480b16827392b6b6ebc4dbcce2ef961.apk,52423,99268,17127,44295,35296,54973
0a37f44ab538fce5885680975b2711e276d6dc0cb4f2b1f23b177ae79e5549a9.apk,9507,13690,3590,7095,5917,6595
0ab77daf4ad66ba71185a8f1b3fe9a8656a421ba45a0eaa98962b056325b9cd3.apk,42186,80673,14908,33943,27278,46730
0b304f55464dea92e6640e08ac6075c00fcd38129a2f76eb6f1e11919dec19bf.apk,20176,33579,7435,14687,12741,18892
0c6ff893d0d7642dad682bbbcbacffe354cf71b26845768413ca3ec122932e25.apk,20988,41805,11628,28187,9360,13618
0ce9e3304c851d5ac863deb9f1a247a78fd0c5d7bbfec31ca40e703e5eb99b08.apk,106673,222009,33973,92262,72700,129747
0dd9cc91552acec916d31fddb88549e9e50d5e14e534709b5c2306f7bd5a98af.apk,58973,115516,18745,51377,40228,64139
0de2a56b0dfb17a6ed4fb45ff2a77f636b108b231bd1e0c0cec4bca079ef3a62.apk,34866,64725,14465,32682,20401,32043
0ea38c6582a243df8be7515ac34474bc2de436c3abcbd3c64d52791978943818.apk,26358,51324,10119,26198,16239,25126
0f061db06e217cfa481077d5e3bc69642e32b80df756bccefd63b3c2ef045e35.apk,88857,255113,35370,119465,53487,135648
0f170461446772bb82d0f5645db9a86f1949c4dcbf66bae63566104de896b85c.apk,9819,20692,3420,8027,6399,12665
0f46541a283ae5a46a71d80e7f55d0d05f3f3d46770ca6d658ecd3ffb830158c.apk,66700,155038,34380,96513,32320,58525
0f53ba30b8fa6e814a7067e4afe4aeacd86cb74fade767fc6a8795740745d2c3.apk,18254,27628,7793,15123,10461,12505
103effb54f60543bf4cdab31938134a5087609376b9897f879385c2234e5d2c0.apk,50136,100247,21412,51818,28724,48429
1082500320c3a14e022f4ffae0bc4fe2b014159e6274469b7bf278964084a4e8.apk,11374,24275,4308,11286,7066,12989
1097ec4977366f0696690d9a23747eca339ad8c6056283808d0ffb54d288ad60.apk,114351,241013,42004,111677,72347,129336
110d4c559aaaa193ee0dae93d0ae117cbbb4bf5819944aa6c4896d8a23dcef1e.apk,68898,137953,30215,77261,38683,60692
125bdfb0741b21d5711f974eceea3bc6a8c9e79eb10f882d11f6de2f625f1ad4.apk,23064,44574,9989,21056,13075,23518
1298b46af9a5a2853ec30a6a9dbb9802c3761099429321b1cc64bab9e19b21a4.apk,14885,31521,4336,10361,10549,21160
12e8b8b7336ad9c5d8a5b3125d5d0c52557e66aca9e8cc5d64f2439ed69c9af8.apk,61647,127763,26902,66458,34745,61305
130f148331a99f11ba40708d5105742632314facbc45ef7c513cd3eca99d9ecd.apk,60367,121234,21621,55086,38746,66148
1386650d58cda34ab261026ffe94585c68030272ac0d331c7b5de8f51f719258.apk,53429,114291,16992,47037,36437,67254
15f1a2c93c2738ffb58c8cea133646f392d85b0939aaaedf66eee9247e2c0fc8.apk,48280,104309,19522,51325,28758,52984
16061512472f96783f9335f57bf46060156efe7b71a0b30ecc4660346474514c.apk,59143,122535,19444,49358,39699,73177
1640f458f45748e03c9156ea63df21ef0ba21a3f59874ada0d5e5434448f757d.apk,40364,77311,16026,38006,24338,39305
168dacedd5fd7dd457939f88a374c93ffa78e78af42323a204fab364012c170f.apk,63496,120284,16326,40966,47170,79318
16fc19f315a2806ce06fc9f49fee676057546406dfae9bf6d54a276f384b0abb.apk,36250,66110,12536,27227,23714,38883
17409dadbe8c78423f40813062e2fe40011b3a1bb80f43c9be5cdd7891bd49c2.apk,86083,176700,30972,74392,55111,102308
1743443d44e46d61a614e0d6e8851e6c87efd09e4923f6c227d70e75747876ce.apk,28326,48543,10962,23914,17364,24629
176c232c62093d164df5ce28df0c6d19cb765c1061e4c63917b626e8d8d301f4.apk,62645,127821,21964,52206,40681,75615
186b20a2f33aa8589a6f6171624616d1865aad3d84f2c55ace1bb0491f6bb00d.apk,7320,13218,3932,8577,3388,4641
187edadba59d6c7950408723019a45c07333fb654d29b5fbbc56fa1c40254993.apk,75732,161044,22365,62111,53367,98933
188fe972277bfab3505cfcb029fd936182d896283233727498bb6cc25c84ef63.apk,38584,71473,14852,33456,23732,38017
18cd8e4bea2e83b4e5eb4cd6ae942b1f7571ed2adc074eeeb6b7e060a7eba6ec.apk,77179,161014,28044,73734,49135,87280
18d4d0bc5010d674de1c5487ed2bdee291de6ed1599d9ba8bead9bbda4b19d64.apk,96905,210040,39617,104920,57288,105120
18e11e4b2c41564020ec525ab7c3f792a0f250669eed96b58057a004913e2c70.apk,7134,14828,2839,6396,4295,8432
197d76d43312bc26d5b4ca4b6104a1d03ea0cf38e88ec8f704e9082f329bbf04.apk,43585,86768,20308,46271,23277,40497
19c2de5c887b15e34efdd83dc01a6181635c162c34961f2d7b4dd1ef84cea9c6.apk,39303,71838,14574,34566,24729,37272
1a229c3fd8382924431e84241aadc73183db27f1a7941fb44e4c0032ad3e0b13.apk,41854,100389,18795,57040,23059,43349
1acfaac3317827c13debba542e6f14c6ee6f56fecdb43f612552642accf6982e.apk,18681,36616,8507,19050,10174,17566
1ad2e822208dfd7c5553d43be9a28b3e54598bd586b425ccc9de92aeec263c42.apk,45483,94509,18563,48291,26920,46218
1b0edd02e69ac08ed70be41b517937543858e692f936920e83f3aee3c34116fb.apk,74335,155379,25543,63654,48792,91725
1be88a898960bf298b9704dc2ae41a4cdb4e971e237162a083655102b744bfbe.apk,38656,74961,11229,30452,27427,44509
1c70a2c4cfcef75a57a9befd312ae79619ec55808dbf347d1d7726d0b6623d08.apk,3329,7406,972,2221,2357,5185
1ca96205b6529ef25743162bdd75df59f9dec4e9e3afcc1966de0f735dc9ccf7.apk,40644,88738,16833,46762,23811,41976
1cbc241dc0f137d4be3597082eabbde0c82581b3da1eecaca28b62259fa58cfb.apk,45888,92897,14153,40748,31735,52149
1ce3f9d6cd288cfbff642d5db320dcdb7e55afd85753a26f19a92ecee1da89b8.apk,45127,101887,23654,62583,21473,39304
1dfe2682584b04c37760eac15ce39417bd0c9f5cb192ba8bf6fc2138756a3884.apk,33965,64680,13899,33225,20066,31455
1e54e6c3632ec46af6e9c5316bf54bca2e0bdc201e06429bd05db86ac1b80257.apk,47344,87573,14137,33970,33207,53603
1edda17f72b135283ccfa94cb754461b5971c197ec04244031a2b783468e274b.apk,20015,30351,6742,12635,13273,17716
1f55bd199e77c64e64e1d2dd0b42d6dada9087e65106fd1accc1dbece8983638.apk,46054,96049,18311,46281,27743,49768
1f9f14835f6430f7cec86f4e6f4a221c682c9a3dff3b32a830c80d125e7f4da6.apk,46254,93572,19105,46684,27149,46888
204e506d10fd32ef55a7619381ca3f1efde9f823fda1e4388cb13e007b78879d.apk,34758,70202,15746,39103,19012,31099
2092486d97ee6da01869929bee762c6452a66ab29600f43421df88d58a0769ba.apk,62377,143977,24701,70464,37676,73513
2310dfb748e57b95115087711dfb193c6bd988d5c68fea85b739adb8bd325dba.apk,59731,139207,27705,78507,32026,60700
2388f589a5b5643fd08041b4d98d3a3bf6775f969f58401befefdeb0204629a1.apk,39093,72764,12405,32305,26688,40459
245806ceadc7e8bbdfd59b1de1d393da2bd635a0ec9cc0dac1d4256261052cc5.apk,58532,112980,21026,51978,37506,61002
24fb9bfc620f16acb21554bf2bcf95c2a5c96f789f6c087985d9778ddd216c9b.apk,69528,175758,23024,74460,46504,101298
25ab64179cf057eac722c657ed01d64040de58e23e0bccbbc51732c69f2e5511.apk,60527,120874,21385,57708,39142,63166
26362d2887fe09b08d6a5e6c2caa5dd2ac4aa287a475cfd19a0a35fd88ce2ef5.apk,37771,69339,13694,30679,24077,38660
26401e54fae9548dbccdb1da12cc4c6c59933cd5f98a7ebc5a9a3e52d2b361de.apk,25117,41402,8562,17038,16555,24364
26c99cccf6a04e6bd0a3b7d7afde05241b7289d49d6c27e4e0b065fe4a9ef0ce.apk,63379,134936,16838,42159,46541,92777
2853b4572584387d3d7974c6fffea789fc9d747fc6b2a68ba59ba62044a5e2a7.apk,46646,97814,20210,51008,26436,46806
28686b7523522f860802254b6eea27df158b7e523c34abf6b6c66de23e85af6a.apk,82789,177967,30223,82320,52566,95647
288a412b8422c1f0ea54fb1f2e7287b21507d21502d021704121ae9cbf8ce183.apk,36837,68928,12320,31529,24517,37399
28b769f7ef2656faa72a362267fad0b8648fc1f887da5c4af8249cfaff37c52d.apk,32386,68693,16110,40241,16276,28452
29149f9908f7cfce383348714fc1254299093b303b9e9428f87c4eb3329d31a2.apk,61119,123968,23591,59128,37528,64840
29620fcdc3a1a10aaca0789b246ab6fbc0c89ec2a53c5d55e4eb3ab66bc7326e.apk,8885,15279,4313,8914,4572,6365
296316b4cbd3125c69ea44f7011f325980c175a539dc67450d40ade168df2bf9.apk,25980,43608,10728,22666,15252,20942
29e4dbe14e2821c44c5158f2e67cffe27c7e72c8ad5dc1e3989b1194e2ef85ef.apk,70279,158047,30257,75737,40022,82310
2a3bf8a0aaae4817e1de7e472666a37f7c299e083341fe2b81b74ad55b03446c.apk,27210,43617,9925,20248,17285,23369
